TC	SC	Go-On	Kan-On	Eum	PY	MC	MCI	MCF	MCT	OC	Gloss
蜎	蜎			연현	yuān	gjwienX	g-	-jwien	rising	*m-k-qʷenʔ {*[m-k-qʷ]enʔ}	crawl (as an insect); soft, bending
絹	绢	けん	けん	견견견	juàn	kjwienH	k-	-jwien	departing	*kʷen-s {*[k]ʷen-s}	a kind of silk stuff
翾	翾			현	xuān	xjwien	x-	-jwien	even	*qʷʰen	fly about
儇	儇			현현	xuān	xjwien	x-	-jwien	even	*qʷʰen	nimble, smart
瞏	瞏			경선	qióng	gjwieng	g-	-jwieng	even	*ɡʷeŋ {*[ɡ]ʷeŋ}	scared, sad
傾	倾	きょう	けい	경	qīng	khjwieng	kh-	-jwieng	even	*kʷʰeŋ {*[k]ʷʰeŋ}	incline (v.)
頃	顷	きょう	けい	경경규경경규	qǐng	khjwiengX	kh-	-jwieng	rising	*kʷʰeŋʔ {*[k]ʷʰeŋʔ}	interval, short while
烕	烕			혈멸혈멸	xuè	xjwiet	x-	-jwiet	entering	*m̥et	extinguish, destroy
悸	悸	ぎ	き	계	jì	gjwijH	g-	-jwij	departing	*ɡʷit-s {*[ɡ]ʷi[t]-s}	agitated
癸	癸	き	き	계규계	guǐ	kjwijX	k-	-jwij	rising	*kʷijʔ	10th heavenly stem
季	季	き	き	계계	jì	kjwijH	k-	-jwij	departing	*kʷit-s {*kʷi[t]-s}	youngest
均	均	うん	うん	균운연	jūn	kjwin	k-	-jwin	even	*C.qʷin {*C.qʷi[n]}	even, equal
鈞	钧			균	jūn	kjwin	k-	-jwin	even	*C.qʷin {*C.qʷi[n]}	potter's wheel
鈞	钧			균	jūn	kjwin	k-	-jwin	even	*kʷin {*[k]ʷi[n]}	weight of 30 jīn 斤
繘	繘			율결	jú	kjwit	k-	-jwit	entering	*C.qʷit {*C.qʷi[t]}	well-rope
橘	橘	きち	きつ	귤귤	jú	kjwit	k-	-jwit	entering	*s.kʷit {*[s.k]ʷi[t]}	orange (tangerine?)
威	威	い	い	위	wēi	ʔjwɨj	ʔ-	-jwɨj	even	*ʔuj	awe-inspiring
畏	畏	え	い	외	wèi	ʔjwɨjH	ʔ-	-jwɨj	departing	*ʔuj-s	fear (v.)
㷉	㷉			위울위울	wèi	ʔjwɨjH	ʔ-	-jwɨj	departing	*ʔut-s	dominate
蔚	蔚			울위위	wèi	ʔjwɨjH	ʔ-	-jwɨj	departing	*ʔut-s	Artemisia
韋	韦	い	い	위	wéi	hjwɨj	h-	-jwɨj	even	*ɢʷəj {*[ɢ]ʷə[j]}	go against
圍	围	え	い	위위국	wéi	hjwɨj	h-	-jwɨj	even	*ɢʷəj {*[ɢ]ʷə[j]}	surround
違	违	い	い	위위	wéi	hjwɨj	h-	-jwɨj	even	*ɢʷəj {*[ɢ]ʷə[j]}	go against
胃	胃	い	い	위	wèi	hjwɨjH	h-	-jwɨj	departing	*ɢʷət-s {*[ɢ]ʷə[t]-s}	stomach
謂	谓	い	い	위	wèi	hjwɨjH	h-	-jwɨj	departing	*ɢʷət-s {*[ɢ]ʷə[t]-s}	say, tell, call
蝟	猬	い	い	위	wèi	hjwɨjH	h-	-jwɨj	departing	*ɢʷət-s {*[ɢ]ʷə[t]-s}	porcupine
歸	归	き	き	귀	guī	kjwɨj	k-	-jwɨj	even	*kʷəj {*[k]ʷəj}	return (v.)
鬼	鬼	き	き	귀	guǐ	kjwɨjX	k-	-jwɨj	rising	*k-ʔujʔ	ghost
貴	贵	き	き	귀	guì	kjwɨjH	k-	-jwɨj	departing	*kuj-s	precious; expensive
巍	巍			외위외	wēi	ngjwɨj	ng-	-jwɨj	even	*N.qʰuj	high, majestic
魏	魏	げ	ぎ	위위외위	wéi	ngjwɨj	ng-	-jwɨj	even	*N-qʰuj	high, majestic
魏	魏	げ	ぎ	위위외위	wèi	ngjwɨjH	ng-	-jwɨj	departing	*N-qʰuj-s	high
徽	徽	け	き	휘휘	huī	xjwɨj	x-	-jwɨj	even	*m̥əj	rope
揮	挥	け	き	휘휘혼	huī	xjwɨj	x-	-jwɨj	even	*qʷʰər	wave, brandish
暉	晖	き	き	휘	huī	xjwɨj	x-	-jwɨj	even	*qʷʰər	light, bright(ness)
楎	楎			휘혼	huī	xjwɨj	x-	-jwɨj	even	*qʷʰər	clothes-peg
輝	辉	け	き	휘	huī	xjwɨj	x-	-jwɨj	even	*qʷʰər	bright
煇	煇			휘훈운	huī	xjwɨj	x-	-jwɨj	even	*qʷʰər	brilliant
𤈦	𤈦				huǐ	xjwɨjX	x-	-jwɨj	rising	*m̥əjʔ	burn
虺	虺	け	き	훼회	huǐ	xjwɨjX	x-	-jwɨj	rising	*r̥ujʔ {*[r̥]u[j]ʔ} (dial. *r̥- › x-)	snake-brood
穢	秽	え	わい	예	huì	ʔjwojH	ʔ-	-jwoj	departing	*qʷat-s	bad weeds; filth
喙	喙	け	かい	훼달	huì	xjwojH	x-	-jwoj	departing	*l̥or-s {*l̥o[r]-s} (*l̥- › x- dialect)	snout; to pant
顪	顪			훼	huì	xjwojH	x-	-jwoj	departing	*qʷʰat-s	beard
夗	夗				wǎn	ʔjwonX	ʔ-	-jwon	rising	*ʔorʔ {*ʔo[r]ʔ}	turn over in bed
宛	宛	おん	えん	완원원완원온울	wǎn	ʔjwonX	ʔ-	-jwon	rising	*ʔorʔ {*ʔo[r]ʔ}	curved; to bend
婉	婉			완완	wǎn	ʔjwonX	ʔ-	-jwon	rising	*ʔorʔ {*[ʔ]o[r]ʔ}	beautiful
苑	苑	おん	えん	원울울	yuǎn	ʔjwonX	ʔ-	-jwon	rising	*ʔorʔ {*[ʔ]o[r]ʔ}	resentment
苑	苑	おん	えん	원울울	yuǎn	ʔjwonX	ʔ-	-jwon	rising	*ʔorʔ {*[ʔ]o[r]ʔ}	park for hunting
怨	怨	おん	えん	원원온	yuàn	ʔjwonH	ʔ-	-jwon	departing	*ʔor-s {*[ʔ]o[r]-s}	resentment
園	园	おん	えん	원	yuán	hjwon	h-	-jwon	even	*C.ɢʷan {*C.ɢʷa[n]}	garden
爰	爰	おん	えん	원	yuán	hjwon	h-	-jwon	even	*ɢʷan {*ɢʷa[n]}	thereupon
猨	猨			원	yuán	hjwon	h-	-jwon	even	*ɢʷan {*[ɢ]ʷa[n]}	monkey
援	援	えん	えん	원원환	yuán	hjwon	h-	-jwon	even	*ɢʷan {*[ɢ]ʷa[n]}	pull up
袁	袁			원원	yuán	hjwon	h-	-jwon	even	*ɢʷan {*[ɢ]ʷa[n]}	long robe
轅	辕			원	yuán	hjwon	h-	-jwon	even	*ɢʷan {*[ɢ]ʷa[n]}	carriage-pole
垣	垣	おん	えん		yuán	hjwon	h-	-jwon	even	*ɢʷar {*[ɢ]ʷar}	wall
遠	远	おん	えん	원원	yuǎn	hjwonX	h-	-jwon	rising	*C.ɢʷanʔ {*C.ɢʷa[n]ʔ}	far
勸	劝	こん	けん	권	quàn	khjwonH	kh-	-jwon	departing	*C.qʷʰar-s	encourage
元	元	ごん	げん		yuán	ngjwon	ng-	-jwon	even	*ŋon {*[ŋ]o[n]} (‹ nasal + uvular)	head; first
原	原	ごん	げん	원원	yuán	ngjwon	ng-	-jwon	even	*ŋʷar {*[ŋ]ʷar} (‹ uvular)	spring, source; origin
原	原	ごん	げん	원원	yuán	ngjwon	ng-	-jwon	even	*ŋʷar {*[ŋ]ʷar} (‹ uvular)	high plain (n.)
願	愿	ごん	げん	원	yuàn	ngjwonH	ng-	-jwon	departing	*ŋon-s {*[ŋ]o[n]-s} (‹ nasal plus uvular?)	to wish
貆	貆			환훤	huán	xjwon	x-	-jwon	even	*qʷʰar	badger (n.)
塤	埙			훈	xuān	xjwon	x-	-jwon	even	*qʰon {*qʰo[n]}	ocarina
諼	谖			훤	xuān	xjwon	x-	-jwon	even	*qʷʰan {*qʷʰa[n]}	forget
吅	吅	こん	けん		xuán	xjwon	x-	-jwon	even	*qʷʰar	to cry in alarm
咺	咺			훤훤	xuǎn	xjwonX	x-	-jwon	rising	*qʷʰarʔ	brilliant, illustrious
壎	壎	くん	くん		xūn	xjwon	x-	-jwon	even	*qʰon {*qʰo[n]}	ocarina
掘	掘	ごち	くつ	굴궐	jué	gjwot	g-	-jwot	entering	*ɡot {*[ɡ]ot}	dig out (earth)
曰	曰	おち	えつ	왈	yuē	hjwot	h-	-jwot	entering	*ɢʷat {*[ɢ]ʷat}	say
戉	戉			월	yuè	hjwot	h-	-jwot	entering	*ɢʷat {*[ɢ]ʷat}	a kind of axe
越	越	えち	えつ	월활활	yuè	hjwot	h-	-jwot	entering	*ɢʷat {*[ɢ]ʷat}	pass over
粵	粤				yuè	hjwot	h-	-jwot	entering	*ɢʷat {*[ɢ]ʷat}	generous, favorable
鉞	钺			월	yuè	hjwot	h-	-jwot	entering	*ɢʷat {*[ɢ]ʷat}	a kind of axe
蕨	蕨	こち	けつ	궐	jué	kjwot	k-	-jwot	entering	*Cə.kot	bracken (a kind of edible fern)
厥	厥			궐궐	jué	kjwot	k-	-jwot	entering	*kot	(3p possessive pronoun)
闕	阙			궐	què	khjwot	kh-	-jwot	entering	*kʷʰat	tower over gate
月	月	がち	げつ	월	yuè	ngjwot	ng-	-jwot	entering	*ŋʷat {*[ŋ]ʷat}	moon, month
埃	埃	あい	あい	애	āi	ʔoj	ʔ-	-oj	even	*qˁə	dust
哀	哀	あい	あい	애	āi	ʔoj	ʔ-	-oj	even	*ʔˁəj	to pity; sad
愛	爱	あい	あい	애	ài	ʔojH	ʔ-	-oj	departing	*qˁəp-s {*[q]ˁəp-s}	to love; to grudge (‹ ‘draw close to oneself’?)
僾	僾			애	ài	ʔojH	ʔ-	-oj	departing	*qˁəp-s	to pant, lose the breath
袋	袋	だい	たい	대	dài	dojH	d-	-oj	departing	*Cə.lˁək-s	bag
代	代	だい	たい	대대	dài	dojH	d-	-oj	departing	*lˁək-s	replace
隶	隶	い	い	대이시제태이례	dài	dojH	d-	-oj	departing	*m.rˁəp-s	reach to
逮	逮	だい	たい	체대체태체태	dài	dojH	d-	-oj	departing	*m.rˁəp-s	reach to
待	待	だい	たい	대	dài	dojX	d-	-oj	rising	*dˁəʔ {*[d]ˁəʔ}	wait on; depend on
殆	殆	だい	たい	태태	dài	dojX	d-	-oj	rising	*lˁəʔ	danger
迨	迨			태	dài	dojX	d-	-oj	rising	*lˁəʔ	come to
詒	诒	い	い	이태이태	dài	dojX	d-	-oj	rising	*lˁəʔ	deceive, cheat
臺	台	だい	たい	대	tái	doj	d-	-oj	even	*lˁə	tower
裁	裁	ざい	さい	재	cái	dzoj	dz-	-oj	even	*Cə.dzˁə {*[Cə.dz]ˁə}	cut out clothes
材	材	ざい	さい	재	cái	dzoj	dz-	-oj	even	*Cə.dzˁə {*[Cə.dz]ˁə}	timber
才	才	ざい	さい	재재	cái	dzoj	dz-	-oj	even	*dzˁə {*(Cə.)[dz]ˁə}	talent, ability
財	财	ざい	さい	재	cái	dzoj	dz-	-oj	even	*dzˁə {*[dz]ˁə}	wealth
載	载	さい	さい	재대	zài	dzojH	dz-	-oj	departing	*m-tsˁəʔ-s {*[m-ts]ˁəʔ-s}	load (v.); transport (v.)
在	在	ざい	さい	재	zài	dzojX	dz-	-oj	rising	*dzˁəʔ {*[dz]ˁəʔ}	be at, be present
孩	孩	がい	かい	해	hái	hoj	h-	-oj	even	*ɡˁə {*[ɡ]ˁə}	child
亥	亥	がい	かい	해	hài	hojX	h-	-oj	rising	*ɡˁəʔ {*[ɡ]ˁəʔ}	12th earthly branch
劾	劾	がい	かい		hé	hojH	h-	-oj	departing	*ɡˁək-s {*[ɡ]ˁək-s}	investigate
該	该	かい	かい	해개해해	gāi	koj	k-	-oj	even	*kˁə {*[k]ˁə}	all, complete
改	改	かい	かい	개	gǎi	kojX	k-	-oj	rising	*C.qˁəʔ	change (v.)
溉	溉				gài	kojH	k-	-oj	departing	*kˁət-s {*[k]ˁə[t]-s}	to wash
概	概	かい	かい	개개	gài	kojH	k-	-oj	departing	*kˁət-s {*[k]ˁə[t]-s}	to strickle
開	开	かい	かい	개견	kāi	khoj	kh-	-oj	even	*Nə-kʰˁəj {*Nə-[k]ʰˁə[j]}	to open (v.i)
開	开	かい	かい	개견	kāi	khoj	kh-	-oj	even	*kʰˁəj {*[k]ʰˁəj}	to open (v.t.)
鎧	铠	かい	かい	개	kǎi	khojH	kh-	-oj	departing	*C.qʰˁəjʔ-s	coat of mail
塏	垲			개개	kǎi	khojX	kh-	-oj	rising	*C.qʰəjʔ {*C.qʰˁəjʔ}	high and dry (place)
豈	岂				kǎi	khojX	kh-	-oj	rising	*C.qʰˁəjʔ	happy, pleasant
鎧	铠	かい	かい	개	kǎi	khojX	kh-	-oj	rising	*C.qʰˁəjʔ	coat of mail
凱	凯	かい	かい	개	kǎi	khojX	kh-	-oj	rising	*C.qʰˁəjʔ	pleasant
愷	恺			개개	kǎi	khojX	kh-	-oj	rising	*C.qʰˁəjʔ	triumphal music; happy
咳	咳	がい	かい	해해해	kài	khojH	kh-	-oj	departing	*kʰˁək-s	cough
欬	欬			해개애	kài	khojH	kh-	-oj	departing	*kʰˁək-s	cough
慨	慨	かい	かい	개개	kài	khojH	kh-	-oj	departing	*kʰˁət-s {*[kʰ]ˁə[t]-s}	disappointed
來	来	らい	らい	래래	lái	loj	l-	-oj	even	*mə.rˁək (› *mə.rˁə)	a kind of wheat
來	来	らい	らい	래래	lái	loj	l-	-oj	even	*rˁək (› *rˁə)	come
賚	赉	らい	らい	뢰래	lài	lojH	l-	-oj	departing	*rˁək-s {*[r]ˁək-s}	give, send
乃	乃	ない,あい	だい,あい	내애	nǎi	nojX	n-	-oj	rising	*nˁəʔ {*nˁə(ŋ)ʔ}	your
耐	耐	ない	だい	내능	nài	nojH	n-	-oj	departing	*nˁə-s	endure
能	能	のう	どう	능내태내	néng	noj	n-	-oj	even	*nˁə	a kind of bear
塞	塞	そく	そく	새색색	sài	sojH	s-	-oj	departing	*sˁək-s {*[s]ˁək-s}	frontier
塞	塞	そく	そく	새색색	sài	sojH	s-	-oj	departing	*sˁək-s	pass (n.)
戴	戴	たい	たい	대	dài	tojH	t-	-oj	departing	*Cə.tˁək-s	carry on the head
貸	贷	たい	たい	대특대특	dài	thojH	th-	-oj	departing	*l̥ˁək-s	borrow; lend
胎	胎	たい	たい	태태	tāi	thoj	th-	-oj	even	*l̥ˁə	fetus
態	态	たい	たい	태태	tài	thojH	th-	-oj	departing	*n̥ˁə-s	bearing, manner
災	灾	さい	さい	재	zāi	tsoj	ts-	-oj	even	*tsˁə {*[ts]ˁə}	calamity
栽	栽	さい	さい	재재	zāi	tsoj	ts-	-oj	even	*tsˁə {*[ts]ˁə}	plant (v.)
灾	灾			재	zāi	tsoj	ts-	-oj	even	*tsˁə {*[ts]ˁə}	calamity
𢦒	𢦒				zāi	tsoj	ts-	-oj	even	*tsˁə {*[ts]ˁə}	hurt, damage (v.)
𢦏	𢦏				zāi	tsoj	ts-	-oj	even	*tsˁə {*[ts]ˁə}	hurt, damage (v.)
烖	烖			재	zāi	tsoj	ts-	-oj	even	*tsˁə {*[ts]ˁə}	calamity
哉	哉	さい	さい	재	zāi	tsoj	ts-	-oj	even	*tsˁə {*[ts]ˁə}	begin
哉	哉	さい	さい	재	zāi	tsoj	ts-	-oj	even	*tsˁə {*[ts]ˁə}	(particle)
載	载	さい	さい	재대	zǎi	tsojX	ts-	-oj	rising	*tsˁəʔ {*[ts]ˁəʔ}	year
再	再	さい	さい	재	zài	tsojH	ts-	-oj	departing	*tsˁə-s {*[ts]ˁə(ʔ)-s}	twice; a second time
載	载	さい	さい	재대	zài	tsojH	ts-	-oj	departing	*tsˁəʔ-s {*[ts]ˁəʔ-s}	record (v.)
載	载	さい	さい	재대	zài	tsojH	ts-	-oj	departing	*tsˁəʔ-s {*[ts]ˁəʔ-s}	load (v.)
采	采	さい	さい	채채채	cǎi	tshojX	tsh-	-oj	rising	*N-sˁrəʔ	colorful
彩	彩	さい	さい	채	cǎi	tshojX	tsh-	-oj	rising	*N-sˁrəʔ	colorful
採	采	さい	さい	채채	cǎi	tshojX	tsh-	-oj	rising	*m-sˁrəʔ	gather, pluck
采	采	さい	さい	채채채	cǎi	tshojX	tsh-	-oj	rising	*m-sˁrəʔ	gather, pluck
菜	菜	さい	さい	채	cài	tshojH	tsh-	-oj	departing	*m-sˁrəʔ-s	vegetables
海	海	かい	かい	해	hǎi	xojX	x-	-oj	rising	*m̥ˁəʔ (dial. *m̥ˁ- › x-)	sea
匐	匐			복	fú	bok	b-	-ok	entering	*bˁək {*[b]ˁək} (‹ *[b]ˁuk ?)	crawl
犆	犆				tè	dok	d-	-ok	entering	*dˁək {*[d]ˁək}	single
特	特	どく	とく	특특특	tè	dok	d-	-ok	entering	*dˁək {*[d]ˁək}	bull
賊	贼	ぞく	そく	적	zéi	dzok	dz-	-ok	entering	*k.dzˁək	injure; murderer, bandit
劾	劾	がい	かい	핵해핵	hé	hok	h-	-ok	entering	*ɡˁək {*[ɡ]ˁək}	investigate, try (a criminal)
克	克	こく	こく	극	kè	khok	kh-	-ok	entering	*kʰˁək	carry; able; dominate
刻	刻	こく	こく	각	kè	khok	kh-	-ok	entering	*kʰˁək {*[kʰ]ˁək}	cut, engrave
勒	勒	ろく	ろく	륵	lè	lok	l-	-ok	entering	*rˁək {*[r]ˁək}	engrave
勒	勒	ろく	ろく	륵	lè	lok	l-	-ok	entering	*rˁək {*[r]ˁək}	bridle
墨	墨	もく	ぼく	묵미	mò	mok	m-	-ok	entering	*C.mˁək	ink
北	北	ほく	ほく	북배	běi	pok	p-	-ok	entering	*pˁək	north
塞	塞	そく	そく	새색색	sè	sok	s-	-ok	entering	*sˁək {*[s]ˁək}	stop up, block (v.)
德	德			덕덕	dé	tok	t-	-ok	entering	*tˁək	virtue
得	得	とく	とく	득	dé	tok	t-	-ok	entering	*tˁək	obtain
忒	忒			특	tè	thok	th-	-ok	entering	*l̥ˁək	err; change; deceitful
慝	慝			특닉	tè	thok	th-	-ok	entering	*n̥ˁək	evil
則	则	そく	そく	즉칙측칙	zé	tsok	ts-	-ok	entering	*tsˁək {*[ts]ˁək}	then
則	则	そく	そく	즉칙측칙	zé	tsok	ts-	-ok	entering	*tsˁək {*[ts]ˁək}	rule, pattern
黑	黑	こく	こく	흑	hēi	xok	x-	-ok	entering	*m̥ˁək (dial. *m̥ˁ- › xˁ-)	black
禫	禫	どん	たん	담	dàn	domX	d-	-om	rising	*N.rˁumʔ {*[N.]rˁ[u]mʔ}	sacrifice at end of mourning
窞	窞	どん	たん	담람담	dàn	domX	d-	-om	rising	*lˁomʔ {*rˁomʔ} in 坎窞	khomX-domX hole or pit
萏	萏				dàn	domX	d-	-om	rising	*rˁomʔ (in a binom)	homX.domX lotus flower
潭	潭	どん	たん	담심담	tán	dom	d-	-om	even	*C.lˁəm {*C.lˁ[ə]m}	deep, pond
覃	覃			담염담염	tán	dom	d-	-om	even	*N.rˁom {*N.rˁ[o]m}	extend, spread
燂	燂				xún	dom	d-	-om	even	*lˁom	to heat
蠶	蚕	ぞん	さん	잠천	cán	dzom	dz-	-om	even	*C.dzˁəm {*C.dzˁ[ə]m}	silkworm
圅	圅				hán	hom	h-	-om	even	*Cə-m-kˁəm {*Cə-m-kˁ[ə]m}	contain
含	含	ごん	かん	함함	hán	hom	h-	-om	even	*Cə-m-kˁəm {*Cə-m-kˁ[ə]m}	hold in the mouth
函	函	ごん	かん	함함	hán	hom	h-	-om	even	*Cə-m-kˁəm {*Cə-m-kˁ[ə]m}	envelop, contain
唅	唅			함	hán	hom	h-	-om	even	*Cə-m-kˁəm {*Cə-m-kˁ[ə]m}	hold in the mouth
涵	涵				hán	hom	h-	-om	even	*ɡˁom {*[ɡ]ˁ[o]m}	soak, overflow
含	含	ごん	かん	함함	hán	homH	h-	-om	departing	*Cə-m-kˁəm-s {*Cə-m-[k]ˁ[ə]m-s}	to put in the mouth
憾	憾	ごん	かん	감함담감	hàn	homH	h-	-om	departing	*N-kˁəmʔ-s {*N-kˁ[ə]mʔ-s}	dissatisfied
頷	颔	ごん	かん	함암	hàn	homX	h-	-om	rising	*ɢˁəm {*[ɢ]ˁ[ə]mʔ}	jaw, chin
感	感	こん	かん	감감	gǎn	komX	k-	-om	rising	*kˁəmʔ {*kˁ[ə]mʔ}	move (emotionally) (v.t.)
贛	赣	く	こう	공감장	gàn	komH	k-	-om	departing	*komʔ-s {*k[o]mʔ-s}	the Gàn river in Jiangxi
贛	赣	く	こう	공감장	gàn	komX	k-	-om	rising	*komʔ {*k[o]mʔ}	the Gàn river
堪	堪	こん	かん	감	kān	khom	kh-	-om	even	*kʰˁəm {*[kʰ]ˁ[ə]m}	able to bear
欿	欿			감함감함	kǎn	khomX	kh-	-om	rising	*k-r̥ˁəmʔ	covet
坎	坎	こん	かん	감	kǎn	khomX	kh-	-om	rising	*kʰˁomʔ {*[kʰ]ˁomʔ}	pit
埳	埳				kǎn	khomX	kh-	-om	rising	*kʰˁomʔ {*[kʰ]ˁomʔ}	pit (n.)
欿	欿			감함감함	kǎn	khomX	kh-	-om	rising	*kʰˁomʔ {*[kʰ]ˁomʔ}	insufficient
欿	欿			감함감함	kǎn	khomX	kh-	-om	rising	*kʰˁomʔ {*[kʰ]ˁomʔ}	despondent
男	男	なん	だん	남	nán	nom	n-	-om	even	*nˁəm {*nˁ[ə]m}	man, male
南	南	なん	だん	남나	nán	nom	n-	-om	even	*nˁəm {*nˁ[ə]m}	south
耽	耽	とん	たん	탐담	dān	tom	t-	-om	even	*t-qˁəm {*[t-q]ˁ[ə]m}	take pleasure
探	探	とん	たん	탐	tān	thom	th-	-om	even	*l̥ˁəm {*l̥ˁ[ə]m}	put the hand into and test
貪	贪	とん	たん	탐탐	tān	thom	th-	-om	even	*r̥ˁəm {*r̥ˁ[ə]m}	to covet
醓	醓			담탐탐담	tǎn	thomX	th-	-om	rising	*l̥ˁəmʔ {*[l̥ˁ][ə]mʔ}	minced meat and blood pickled with brine
簪	簪	しん	さん	잠잠	zān	tsom	ts-	-om	even	*Cə.tsˁəm {*Cə.[ts]ˁ[ə]m}	hairpin
參	参	さん	さん	참삼삼삼	cān	tshom	tsh-	-om	even	*N-sˁrum {*N-sˁr[u]m}	three
驂	骖	そん	さん	참	cān	tshom	tsh-	-om	even	*m-sˁrəm {*m-sˁr[ə]m}	team of three horses
參	参	さん	さん	참삼삼삼	cān	tshom	tsh-	-om	even	*s-l̥ˁum {*s-l̥ˁ[u]m}	accumulate
參	参	さん	さん	참삼삼삼	cān	tshom	tsh-	-om	even	*tsʰˁum {*[tsʰ]ˁ[u]m}	straight
恩	恩	おん	おん	은	ēn	ʔon	ʔ-	-on	even	*ʔˁən {*ʔˁə[n]}	kindness, favor
恨	恨	ごん	こん	한한	hèn	honH	h-	-on	departing	*m-qˁən-s {*[m-q]ˁə[n]-s}	regret
根	根	こん	こん	근	gēn	kon	k-	-on	even	*kˁən {*[k]ˁə[n]}	root, trunk
眼	眼	げん	がん	안은	wěn	ngonX	ng-	-on	rising	*ŋˁənʔ {*ŋˁə[n]ʔ}	protrude as a knob
棚	棚	びょう	ほう	붕붕	péng	bong	b-	-ong	even	*C.bˁəŋ	awning, sail
朋	朋	ぼう	ほう	붕	péng	bong	b-	-ong	even	*bˁəŋ {*[b]ˁəŋ}	set of cowries; friend
騰	腾	どう	とう	등	téng	dong	d-	-ong	even	*lˁəŋ	to mount; oppress
層	层	ぞう	そう	층	céng	dzong	dz-	-ong	even	*N-s.tˁəŋ	double
曾	曾	ぞう	そう	증	céng	dzong	dz-	-ong	even	*dzˁəŋ {*[dz]ˁəŋ}	(adverb indicating past time)
贈	赠	ぞう	そう	증증	zèng	dzongH	dz-	-ong	departing	*dzˁəŋ-s {*[dz]ˁəŋ-s}	give
恆	恒	ごう	こう	항긍긍	héng	hong	h-	-ong	even	*ɡˁəŋ {*[ɡ]ˁəŋ}	constant
能	能	のう	どう	능내태내	néng	nong	n-	-ong	even	*nˁə {*nˁə(ŋ)}	a kind of bear
能	能	のう	どう	능내태내	néng	nong	n-	-ong	even	*nˁə {*nˁə(ʔ)} ~ *nˁəŋ	able; ability
崩	崩	ほう	ほう	붕	bēng	pong	p-	-ong	even	*Cə.pˁəŋ	collapse (v., of a mountain)
堋	堋	ほう	ほう	붕붕	bèng	pongH	p-	-ong	departing	*pˁəŋ-s	put coffin in grave
登	登	とう	とう	등등득	dēng	tong	t-	-ong	even	*k-tˁəŋ	a kind of sacrificial vessel
鐙	镫	とう	とう	등등	dēng	tong	t-	-ong	even	*k-tˁəŋ	ritual vessel; lamp
燈	灯	とう	とう	등등	dēng	tong	t-	-ong	even	*k-tˁəŋ	lamp
登	登	とう	とう	등등득	dēng	tong	t-	-ong	even	*tˁəŋ	ascend
豋	豋			등등	dēng	tong	t-	-ong	even	*tˁəŋ	step up
等	等	とう	とう	등등	děng	tongX	t-	-ong	rising	*tˁəŋʔ	step, grade
曾	曾	ぞう	そう	증	zēng	tsong	ts-	-ong	even	*tsˁəŋ {*[ts]ˁəŋ}	remote (ancestor)
憎	憎	そう	そう	증증	zēng	tsong	ts-	-ong	even	*tsˁəŋ {*[ts]ˁəŋ}	hate
沓	沓	どう	とう	답	tà	dop	d-	-op	entering	*m-rˁəp	join, unite
眔	眔				tà	dop	d-	-op	entering	*m-rˁəp	reach to; and
遝	遝			답	tà	dop	d-	-op	entering	*m.rˁəp	reach to; and
雜	杂	ぞう	そう	잡	zá	dzop	dz-	-op	entering	*dzˁəp {*[dz]ˁ[ə]p}	mixed
合	合	ごう	こう	합갑합홉	hé	hop	h-	-op	entering	*m-kˁop	unite
閤	閤	こう	こう	합	gé	kop	k-	-op	entering	*kˁop {*[k]ˁ[o]p}	small gate
韐	韐			겹갑	gé	kop	k-	-op	entering	*kˁəp {*[k]ˁ[ə]p}	knee-cover
拉	拉	ろう	ろう	랍랍	là	lop	l-	-op	entering	*rˁəp {*[r]ˁəp}	break
內	内	ない	だい	내납	nà	nop	n-	-op	entering	*nˁəp {*nˁ[ə]p}	bring or send in
納	纳	のう	どう	납	nà	nop	n-	-op	entering	*nˁəp {*nˁ[ə]p}	bring or send in
答	答	とう	とう	답답	dá	top	t-	-op	entering	*tˁəp {*[t]ˁ[ə]p}	answer
荅	荅	とう	とう		dá	top	t-	-op	entering	*tˁəp {*[t]ˁ[ə]p}	small bean
噆	噆			참	zǎn	tsop	ts-	-op	entering	*tsˁəp {*tsˁ[ə]p}	sting and suck (mosquito)
欱	欱			합	hē	xop	x-	-op	entering	*qʰˁəp {*qʰˁ[ə]p}	sip, drink
毒	毒	どく	とく	독대	dú	dowk	d-	-owk	entering	*dˁuk {*[d]ˁuk}	poison (n.)
毒	毒	どく	とく	독대	dú	dowk	d-	-owk	entering	*m-dˁuk-s {*m-[d]ˁuk-s}	to poison (v.)
隺	隺				hè	howk	h-	-owk	entering	*ɡˁawk {*[ɡ]ˁawk}	high
郜	郜			고곡곡	gào	kowk	k-	-owk	entering	*kˁuk	(place name)
告	告	こう	こう	고곡국고곡	gào	kowk	k-	-owk	entering	*kˁuk	announce, inform
酷	酷	こく	こく	혹곡혹	kù	khowk	kh-	-owk	entering	*kʰˁuk	cruel
篤	笃				dǔ	towk	t-	-owk	entering	*tˁuk	firm, solid
彤	彤			동동	tóng	downg	d-	-owng	even	*N-rˁum {*N-rˁu[m]} (dial. › *-uŋ)	red
潨	潨			총총종	zhōng	dzowng	dz-	-owng	even	*N-s-tˁuŋ	junction of two rivers
膿	脓	のう	どう	농	nóng	nowng	n-	-owng	even	*C.nˁuŋ	pus
農	农	のう	どう	농	nóng	nowng	n-	-owng	even	*nˁoŋ {*nˁ[o]ŋ}	agriculture; to farm
