TC	SC	Eumhun	PY	MC	MCI	MCF	MCT	OC	Gloss
酉	酉	닭 유, 열째 지지 유	yǒu	yuwX	y-	-juw	rising	*m.ruʔ	wine
泅	泅	헤엄칠 수	qiú	zjuw	z-	-juw	even	*s-N.ru {*[s-N].ru}	swim
囚	囚	가둘 수	qiú	zjuw	z-	-juw	even	*sə.lu	prisoner
袖	袖	소매 수	xiù	zjuwH	z-	-juw	departing	*sə.lu-s	sleeve
彧	彧	문채 욱	yù	ʔjuwk	ʔ-	-juwk	entering	*qʷək	flourishing
郁	郁	성할 욱, 답답할 울, 울창할 울	yù	ʔjuwk	ʔ-	-juwk	entering	*qʷək	stately, elegant
奧	奥	속 오, 따뜻할 욱, 깊을 오	yù	ʔjuwk	ʔ-	-juwk	entering	*ʔuk {*ʔ(r)uk}	cove in the bank of a stream
薁	薁	앵두나무 욱, 앵두나무 오, 까마귀머루 먹, 까마귀머루 욱	yù	ʔjuwk	ʔ-	-juwk	entering	*ʔuk {*ʔ(r)uk}	wild vine
畐	畐		fú	bjuwk	b-	-juwk	entering	*bək {*[b]ək}	fullness
匐	匐	길 복	fú	bjuwk	b-	-juwk	entering	*bək {*[b]ək}	crawl (bu.bjuwk)
𠬝	𠬝		fú	bjuwk	b-	-juwk	entering	*bək {*[b]ək}	subdue; submit
伏	伏	엎드릴 복, 길 복, 알품을 부, 안을 부	fú	bjuwk	b-	-juwk	entering	*bək {*[b]ək}	lie prostrate
箙	箙	전동 복	fú	bjuwk	b-	-juwk	entering	*bək {*[b]ək}	a quiver
服	服	옷 복, 길 복	fú	bjuwk	b-	-juwk	entering	*bək {*[b]ək}	quiver (n.)
服	服	옷 복, 길 복	fú	bjuwk	b-	-juwk	entering	*bək {*[b]ək}	garment; wear (v.)
服	服	옷 복, 길 복	fú	bjuwk	b-	-juwk	entering	*bək {*[b]ək}	subdue, submit
复	复		fù	bjuwk	b-	-juwk	entering	*m-puk {*m-p(r)uk}	return
輹	輹	복토 복	fù	bjuwk	b-	-juwk	entering	*m-puk {*m-p(r)uk}	support under box of carriage
復	复	회복할 복, 다시 부	fù	bjuwk	b-	-juwk	entering	*m-puk {*m-p(r)uk}	return
軸	轴	굴대 축	zhóu	drjuwk	dr-	-juwk	entering	*lruk	wheel-axle
逐	逐	쫓을 축, 빠를 적, 멧돼지 돈, 급급한 모양 적	zhú	drjuwk	dr-	-juwk	entering	*lriwk {*[l]riwk}	pursue
倏	倏	갑자기 숙	shū	dzyuwk	dzy-	-juwk	entering	*Cə.liwk	rapid, sudden
淑	淑	맑을 숙, 맑을 숙	shū	dzyuwk	dzy-	-juwk	entering	*diwk {*[d]iwk}	fine, good
孰	孰	누구 숙, 익을 숙	shú	dzyuwk	dzy-	-juwk	entering	*duk {*[d]uk}	who
熟	熟	익을 숙	shú	dzyuwk	dzy-	-juwk	entering	*duk {*[d]uk}	cooked, ripe
囿	囿	동산 유	yòu	hjuwk	h-	-juwk	entering	*ɢʷək {*[ɢ]ʷək}	park, garden
鞫	鞫	국문할 국	jū	kjuwk	k-	-juwk	entering	*kuk {*k(r)uk}	exhaust; poverty
六	六	여섯 륙	liù	ljuwk	l-	-juwk	entering	*k.ruk	six
戮	戮	죽일 륙	lù	ljuwk	l-	-juwk	entering	*riwk {*[r]iwk}	kill
陸	陆	뭍 륙	lù	ljuwk	l-	-juwk	entering	*ruk {*[r]uk}	land (as opposed to water)
目	目	눈 목	mù	mjuwk	m-	-juwk	entering	*C.muk {*C.m(r)[u]k}	eye
穆	穆	화목할 목	mù	mjuwk	m-	-juwk	entering	*miwk {*m(r)iwk}	harmonious
睦	睦	화목할 목	mù	mjuwk	m-	-juwk	entering	*mruk	concord
牧	牧	칠 목	mù	mjuwk	m-	-juwk	entering	*mək	to herd, herdsman
肉	肉	고기 육, 옥둘레 유, 살 유	ròu	nyuwk	ny-	-juwk	entering	*k.nuk	meat, flesh
輻	辐	바퀴살 복, 바퀴살 부【俗】폭, 바퀴살 폭, 몰려들 부	fú	pjuwk	p-	-juwk	entering	*pək	spokes of a wheel
幅	幅	폭 폭, 폭 복, 행전 핍, 행전 벽, 두건 복	fú	pjuwk	p-	-juwk	entering	*pək	strap around the leg
幅	幅	폭 폭, 폭 복, 행전 핍, 행전 벽, 두건 복	fú	pjuwk	p-	-juwk	entering	*pək	width (of cloth); wide
福	福	복 복, 간직할 부	fú	pjuwk	p-	-juwk	entering	*pək	blessing
複	复	겹옷 복, 겹쳐질 부, 겹칠 복, 겹칠 부	fù	pjuwk	p-	-juwk	entering	*pruk {*p(r)uk}	double, lined (garment)
腹	腹	배 복	fù	pjuwk	p-	-juwk	entering	*puk {*p(r)uk}	belly
覆	复	뒤집힐 복, 덮을 부, 다시 복	fù	phjuwk	ph-	-juwk	entering	*pʰuk {*pʰ(r)uk}	turn over
肅	肃	엄숙할 숙, 공경할 소	sù	sjuwk	s-	-juwk	entering	*siwk	contract (v.); shrivel
肅	肃	엄숙할 숙, 공경할 소	sù	sjuwk	s-	-juwk	entering	*siwk	present (v.)
肅	肃	엄숙할 숙, 공경할 소	sù	sjuwk	s-	-juwk	entering	*siwk	beat (v.)
肅	肃	엄숙할 숙, 공경할 소	sù	sjuwk	s-	-juwk	entering	*siwk	eager; swift
宿	宿	묵을 숙, 별자리 수, 고을 이름 척, 잘 숙	sù	sjuwk	s-	-juwk	entering	*suk {*[s]uk}	spend the night
夙	夙	일찍 숙, 이를 숙	sù	sjuwk	s-	-juwk	entering	*suk {*[s]uk}	early morning
叔	叔	아재비 숙, 아저씨 숙, 콩 숙	shū	syuwk	sy-	-juwk	entering	*s-tiwk	gather, harvest
叔	叔	아재비 숙, 아저씨 숙, 콩 숙	shū	syuwk	sy-	-juwk	entering	*s-tiwk	3rd of 4 brothers
尗	尗	콩 숙, 아저씨 숙	shū	syuwk	sy-	-juwk	entering	*s.tuk	pulse, beans
竹	竹	대 죽	zhú	trjuwk	tr-	-juwk	entering	*truk	bamboo
築	筑	쌓을 축, 악기 이름 축	zhù	trjuwk	tr-	-juwk	entering	*truk	pound earth, build
畜	畜	쌓을 축, 가축 축, 기를 휵, 짐승 축	chù	trhjuwk	trh-	-juwk	entering	*qʰ‹r›uk	nourish
蓄	蓄	쌓을 축, 푸성귀 휵, 모을 축	xù	trhjuwk	trh-	-juwk	entering	*qʰ‹r›uk	collect, store
粥	粥	죽 죽, 팔 육	zhōu	tsyuwk	tsy-	-juwk	entering	*t-quk {*[t-q]uk}	gruel
祝	祝	빌 축, 저주할 주, 약 바를 주, 빌 주	zhù	tsyuwk	tsy-	-juwk	entering	*tuk	cut off, break
祝	祝	빌 축, 저주할 주, 약 바를 주, 빌 주	zhù	tsyuwk	tsy-	-juwk	entering	*tuk	pray, recite
俶	俶	비롯할 숙, 뛰어날 척, 비로소 숙, 기재 있을 척	chù	tsyhuwk	tsyh-	-juwk	entering	*tʰuk	commence
畜	畜	쌓을 축, 가축 축, 기를 휵, 짐승 축	xù	xjuwk	x-	-juwk	entering	*qʰuk	nourish
稸	稸	쌓을 축, 모을 축	xù	xjuwk	x-	-juwk	entering	*qʰuk	store; harbor (feelings)
慉	慉	기를 휵, 맺힐 축, 아플 축	xù	xjuwk	x-	-juwk	entering	*qʰuk	cherish
育	育	기를 육, 맏아들 주	yù	yuwk	y-	-juwk	entering	*m-quk	breed, produce
毓	毓	기를 육	yù	yuwk	y-	-juwk	entering	*m-quk	to produce
鬻	鬻	죽 죽, 팔 육, 어릴 국, 어릴 육	yù	yuwk	y-	-juwk	entering	*m-quk	nourish
汎	汎	뜰 범, 넓을 범, 소리 가늘 핍, 물소리 풍	fàn	bjuwng	b-	-juwng	even	*bum {*[b](r)[u]m}	float about; universally
馮	冯	업신여길 빙, 성 풍, 성씨 풍	píng	bjuwng	b-	-juwng	even	*Cə.bəŋ {*[Cə.b]əŋ}	Féng (surname)
蟲	虫	벌레 충, 좀먹을 충, 더울 동, 벌레 훼, 찔 동	chóng	drjuwng	dr-	-juwng	even	*C.lruŋ	insect
仲	仲	버금 중	zhòng	drjuwngH	dr-	-juwng	departing	*N-truŋ-s	middle (of brothers)
崇	崇	높을 숭	chóng	dzrjuwng	dzr-	-juwng	even	*dz‹r›uŋ {*[dz]‹r›uŋ}	exalt, honor
窮	穷	다할 궁, 궁할 궁	qióng	gjuwng	g-	-juwng	even	*ɡuŋ {*[ɡ](r)uŋ}	poor
窮	穷	다할 궁, 궁할 궁	qióng	gjuwng	g-	-juwng	even	*m-ɡuŋ {*m-[ɡ](r)uŋ}	exhaust
熊	熊	곰 웅, 세발자라 내, 세 발 자라 내	xióng	hjuwng	h-	-juwng	even	*C.ɢʷəm {*C.[ɢ]ʷ(r)əm}	bear (n.)
雄	雄	수컷 웅	xióng	hjuwng	h-	-juwng	even	*ɢʷəŋ {*[ɢ]ʷəŋ}	male
宮	宫	집 궁	gōng	kjuwng	k-	-juwng	even	*kuŋ {*k(r)uŋ}	dwelling; palace; note of scale
躳	躳	몸 궁	gōng	kjuwng	k-	-juwng	even	*kuŋ {*k(r)uŋ}	body, person
躬	躬	몸 궁	gōng	kjuwng	k-	-juwng	even	*kuŋ {*k(r)uŋ}	body, person
弓	弓	활 궁	gōng	kjuwng	k-	-juwng	even	*kʷəŋ	bow (n.)
隆	隆	클 륭, 높을 륭	lóng	ljuwng	l-	-juwng	even	*ruŋ {*[r]uŋ}	sound of thunder
隆	隆	클 륭, 높을 륭	lóng	ljuwng	l-	-juwng	even	*ruŋ {*(k.)ruŋ} (‹ * -[u]m)	high; ample; eminent
夢	梦	꿈 몽	mèng	mjuwngH	m-	-juwng	departing	*C.məŋ-s	dream
戎	戎	되 융, 병장기 융, 오랑캐 융	róng	nyuwng	ny-	-juwng	even	*nuŋ	foreigners in the west
茙	茙	접시꽃 융	róng	nyuwng	ny-	-juwng	even	*nuŋ (‹ *num?)	a kind of bean
風	风	바람 풍, 풍자할 풍	fēng	pjuwng	p-	-juwng	even	*prəm	wind (n.)
風	风	바람 풍, 풍자할 풍	fèng	pjuwngH	p-	-juwng	departing	*prəm-s	blow; criticize
諷	讽	욀 풍, 풍자할 풍	fèng	pjuwngH	p-	-juwng	departing	*prəm-s	to recite
豐	丰	풍년 풍, 부들 풍	fēng	phjuwng	ph-	-juwng	even	*pʰoŋ {*pʰ(r)oŋ} (F!)	kind of ritual vessel
忠	忠	충성 충	zhōng	trjuwng	tr-	-juwng	even	*truŋ	loyal
中	中	가운데 중, 맞을 중	zhōng	trjuwng	tr-	-juwng	even	*truŋ	center
中	中	가운데 중, 맞을 중	zhòng	trjuwngH	tr-	-juwng	departing	*truŋ-s	hit the center
忡	忡	근심할 충	chōng	trhjuwng	trh-	-juwng	even	*tʰruŋ	grieved, agitated
終	终	끝날 종, 마칠 종	zhōng	tsyuwng	tsy-	-juwng	even	*tuŋ	end
潨	潨	흘러들 총, 물들이 총, 물가의 언덕 종	zhōng	tsyuwng	tsy-	-juwng	even	*tuŋ	junction of two rivers
螽	螽	누리 종, 메뚜기 종	zhōng	tsyuwng	tsy-	-juwng	even	*tuŋ	tsyuwng.sje locust
眾	众	무리 중	zhòng	tsyuwngH	tsy-	-juwng	departing	*tuŋ-s	numerous
充	充	찰 충, 채울 충	chōng	tsyhuwng	tsyh-	-juwng	even	*tʰuŋ	full, fill
融	融	화할 융, 녹을 융	róng	yuwng	y-	-juwng	even	*luŋ (? ‹ *lum)	hot air, steam, heat
彡	彡	터럭 삼, 성씨 섬	róng	yuwng	y-	-juwng	even	*m.rum (dial. *-um › -uŋ)	to sacrifice on a following day
肜	肜	융제사 융, 배가는 모양 침	róng	yuwng	y-	-juwng	even	*m.ruŋ {*m.rum} (dial. *-um › -uŋ)	sacrifice on a following day
榮	荣	영화 영, 꽃 영	róng	hjwæng	h-	-jwæng	even	*N-qʷreŋ {*[N-qʷ]reŋ}	glory, honor
咏	咏	읊을 영	yǒng	hjwængH	h-	-jwæng	departing	*ɢʷraŋ-s {*[ɢ]ʷraŋ-s}	chant (v.)
詠	咏	읊을 영	yǒng	hjwængH	h-	-jwæng	departing	*ɢʷraŋ-s {*[ɢ]ʷraŋ-s}	chant (v.)
泳	泳	헤엄칠 영	yǒng	hjwængH	h-	-jwæng	departing	*ɢʷraŋ-s {*[ɢ]ʷraŋ(ʔ)-s}	go in water, wade
永	永	길 영	yǒng	hjwængX	h-	-jwæng	rising	*ɢʷraŋʔ {*[ɢ]ʷraŋʔ}	long (time)
囧	囧	빛날 경	jiǒng	kjwængX	k-	-jwæng	rising	*k-mraŋʔ (dial. *k.mr- › *kʷr-)	bright window
兄	兄	맏 형, 하물며 황, 형 형, 두려워할 황	xiōng	xjwæng	x-	-jwæng	even	*m̥raŋ	elder brother
枉	枉	굽을 왕, 미칠 광	wǎng	ʔjwangX	ʔ-	-jwang	rising	*qʷaŋʔ	crooked; depraved
狂	狂		kuáng	gjwang	g-	-jwang	even	*k-ɢʷaŋ {*[k-ɢʷ]aŋ}	mad, reckless
王	王	임금 왕, 임금노릇할 왕, 갈 왕	wáng	hjwang	h-	-jwang	even	*ɢʷaŋ	king
往	往	갈 왕, 향할 왕	wǎng	hjwangX	h-	-jwang	rising	*ɢʷaŋʔ	go to
王	王	임금 왕, 임금노릇할 왕, 갈 왕	wàng	hjwangH	h-	-jwang	departing	*ɢʷaŋ-s	be king
迋	迋	돌아갈 왕, 속일 광	wàng	hjwangH	h-	-jwang	departing	*ɢʷaŋʔ-s {*[ɢ]ʷaŋʔ-s}	go
匡	匡	바룰 광, 바를 광, 앉은뱅이 왕	kuāng	khjwang	kh-	-jwang	even	*k-pʰaŋ	square basket
筐	筐	광주리 광	kuāng	khjwang	kh-	-jwang	even	*k.pʰaŋ {*[k.pʰ]aŋ}	square basket
況	况	하물며 황, 상황 황	kuàng	xjwangH	x-	-jwang	departing	*m̥aŋ-s {*[m̥]aŋ-s}	how much the more
委	委	맡길 위, 옹용할 위	wěi	ʔjweX	ʔ-	-jwe	rising	*qojʔ {*q(r)ojʔ}	entrust to
委	委	맡길 위, 옹용할 위	wěi	ʔjweX	ʔ-	-jwe	rising	*qojʔ {*q(r)ojʔ}	collect; store
委	委	맡길 위, 옹용할 위	wěi	ʔjweX	ʔ-	-jwe	rising	*qorʔ {*q(r)orʔ}	bend; hang down
骫	骫	굽을 위	wěi	ʔjweX	ʔ-	-jwe	rising	*qʷarʔ {*qʷ(r)arʔ}	bent (of bones)
垂	垂	드리울 수	chuí	dzywe	dzy-	-jwe	even	*doj {*[d]oj}	hang down
跪	跪	꿇어앉을 궤	guì	gjweX	g-	-jwe	rising	*Cə.ɡojʔ {*[Cə.ɡ](r)ojʔ}	kneel; foot
為	为		wéi	hjwe	h-	-jwe	even	*ɢʷaj {*ɢʷ(r)aj}	make, do, act as
為	为	할 위, 위할 위, 하 위	wèi	hjweH	h-	-jwe	departing	*ɢʷaj-s {*[ɢ]ʷ(r)aj-s}	for, because
媯	妫		guī	kjwe	k-	-jwe	even	*C.qʷaj {*C.qʷ(r)aj}	(place and family name)
詭	诡	속일 궤	guǐ	kjweX	k-	-jwe	rising	*kojʔ {*[k](r)ojʔ}	perverse
虧	亏	이지러질 휴, 이지러질 규	kuī	khjwe	kh-	-jwe	even	*kʷʰaj {*[k]ʷʰ(r)aj}	diminish
羸	羸	여윌 리, 파리할 리	léi	ljwe	l-	-jwe	even	*roj {*[r]o[j]}	entangle
累	累	묶을 루, 포갤 루, 괴롭힐 루, 벌거벗길 라, 땅이름 렵, 여러 루, 자주 루, 벌거벗을 라, 땅 이름 렵	lěi	ljwe	l-	-jwe	even	*roj {*[r]oj}	rope (to tie s.o. up)
累	累	묶을 루, 포갤 루, 괴롭힐 루, 벌거벗길 라, 땅이름 렵, 여러 루, 자주 루, 벌거벗을 라, 땅 이름 렵	lěi	ljweX	l-	-jwe	rising	*rojʔ {*[r]ojʔ}	accumulate
危	危	위태할 위	wēi	ngjwe	ng-	-jwe	even	*ŋoj {*[ŋ](r)[o]j}	in danger
偽	伪	거짓 위, 잘못 될 와	wěi	ngjweH	ng-	-jwe	departing	*N-ɢʷaj-s {*[N]-ɢʷ(r)aj-s}	false
諉	诿	핑계할 위, 번거롭게 할 위	wěi	nrjweH	nr-	-jwe	departing	*nroj-s	implicate
瀡	瀡	미끄러울 수	suǐ	sjweH	s-	-jwe	departing	*s-loj-s	slippery
髓	髓	골수 수, 뼛골 수	suǐ	sjweX	s-	-jwe	rising	*s-lojʔ	marrow
隋	隋	나라 수, 제사 고기 나머지 타, 중앙이 높을 타, 수나라 수, 떨어질 타	suì	sjweH	s-	-jwe	departing	*s-loj-s	shred sacrificial meat
揣	揣	잴 췌, 잴 취, 둥글게 할 단, 헤아릴 췌, 헤아릴 취, 때릴 추, 뭉칠 단	chuǎi	tsrhjweX	tsrh-	-jwe	rising	*s-tʰ‹r›orʔ	to measure; to estimate
捶	捶	종아리칠 추, 때릴 추, 불릴 타	chuí	tsyweX	tsy-	-jwe	rising	*tojʔ	to beat
吹	吹	불 취, 바람 취	chuī	tsyhwe	tsyh-	-jwe	even	*tʰoj	blow (v.)
吹	吹	불 취, 바람 취	chuì	tsyhweH	tsyh-	-jwe	departing	*tʰoj-s	musical concert
毀	毁	헐 훼	huǐ	xjweX	x-	-jwe	rising	*m̥ajʔ {*[m̥](r)ajʔ}	demolish
烜	烜		huǐ	xjweX	x-	-jwe	rising	*qʷʰarʔ (dial. *-r › *-j)	sunlight
隨	随	따를 수, 게으를 타	suí	zjwe	z-	-jwe	even	*sə.loj	follow
衛	卫	지킬 위	wèi	hjwejH	h-	-jwej	departing	*ɢʷat-s {*[ɢ]ʷ(r)a[t]-s}	to guard
歲	岁	해 세	suì	sjwejH	s-	-jwej	departing	*s-qʷʰat-s	year
帨	帨	수건 세	shuì	sywejH	sy-	-jwej	departing	*l̥ot-s	kerchief
稅	税	구실 세, 추복입을 태, 검은옷 단, 벗을 탈, 기뻐할 열, 검은상복 수, 세금 세, 수의 수, 추복 입을 태	shuì	sywejH	sy-	-jwej	departing	*l̥ot-s	tax
說	说	말씀 설, 기쁠 열, 달랠 세, 벗을 탈, 기뻐할 열	shuì	sywejH	sy-	-jwej	departing	*l̥ot-s	exhort
叕	叕		zhuó	trjwejH	tr-	-jwej	departing	*trot-s	sew, stitch
毳	毳	솜털 취, 썰매 취, 썰매 절	cuì	tshjwejH	tsh-	-jwej	departing	*tsʰop-s {*[tsʰ]op-s}	fine hair; felt
帨	帨	수건 세	shuì	tshjwejH	tsh-	-jwej	departing	*s.l̥ot-s	kerchief
毳	毳	솜털 취, 썰매 취, 썰매 절	cuì	tsrhjwejH	tsrh-	-jwej	departing	*tsʰ‹r›op-s {*[tsʰ]‹r›op-s}	down, fine hair
喙	喙	부리 훼, 부리 달	huì	tsyhwejH	tsyh-	-jwej	departing	*t-l̥ot-s {*t-l̥o[t]-s}	snout; to pant
喙	喙	부리 훼, 부리 달	huì	tsyhwejH	tsyh-	-jwej	departing	*t-l̥ot-s {*t-l̥o[t]-s}	snout; to pant
銳	锐	날카로울 예, 창 태	ruì	ywejH	y-	-jwej	departing	*lot-s	sharp
彗	彗	비 혜, 살별 혜, 살별 수	huì	zjwejH	z-	-jwej	departing	*s-ɢʷet-s {*s-[ɢ]ʷe[t]-s}	broom; comet
役	役	부릴 역	yì	ywek	y-	-jwek	entering	*ɢʷek	war expedition; service
疫	疫	염병 역, 전염병 역	yì	ywek	y-	-jwek	entering	*ɢʷek	epidemic
傳	传	전할 전, 전기 전	chuán	drjwen	dr-	-jwen	even	*Cə-m-tron	transmit
椽	椽	서까래 연, 서까래 전	chuán	drjwen	dr-	-jwen	even	*lron	beam, rafter
傳	传	전할 전, 전기 전	zhuàn	drjwenH	dr-	-jwen	departing	*m-tron-s	what has been transmitted
全	全	온전할 전	quán	dzjwen	dz-	-jwen	even	*dzon {*[dz]o[n]}	complete (adj.)
泉	泉	샘 천	quán	dzjwen	dz-	-jwen	even	*s-N-ɢʷar I!	spring, source
權	权	저울추 권, 권세 권	quán	gjwen	g-	-jwen	even	*Cə.ɡror {*Cə.[ɡ]r[o]r}	weight of a steelyard
拳	拳		quán	gjwen	g-	-jwen	even	*N-kron {*N-kro[n]}	fist (‹ rolled-up hand)
鬈	鬈	아름다울 권	quán	gjwen	g-	-jwen	even	*ɡʷren {*[ɡ]ʷre[n]}	handsome (hair?)
卷	卷	말 권, 책 권, 굽을 권, 곤룡포 곤	quán	gjwen	g-	-jwen	even	*ɡʷren {*[ɡ]ʷren}	handsome
員	员	수효 원, 더할 운, 인원 원	yuán	hjwen	h-	-jwen	even	*ɢʷren {*[ɢ]ʷre[n]}	circle; round
圓	圆		yuán	hjwen	h-	-jwen	even	*ɢʷren {*[ɢ]ʷre[n]}	round
圜	圜	두를 환, 둥글 원	yuán	hjwen	h-	-jwen	even	*ɢʷren {*[ɢ]ʷren}	round
媛	媛	미녀 원, 끌 원, 계집 원, 여자 원	yuàn	hjwenH	h-	-jwen	departing	*ɢʷran-s {*[ɢ]ʷra[n]-s}	a beauty
院	院	원집 원	yuàn	hjwenH	h-	-jwen	departing	*ɢʷran-s {*ɢʷra[n]-s}	wall round a courtyard
卷	卷	말 권, 책 권, 굽을 권, 곤룡포 곤	juǎn	kjwenX	k-	-jwen	rising	*krorʔ {*[k]rorʔ}	roll (v.)
睠	睠	돌아볼 권, 돌볼 권	juàn	kjwenH	k-	-jwen	departing	*kron-s {*[k]ro[n]-s}	look on with affection
戀	恋	생각할 련, 그리워할 련, 그릴 련	liàn	ljwenH	l-	-jwen	departing	*ron-s	to long for
孌	娈	아름다울 련	liàn	ljwenX	l-	-jwen	rising	*ronʔ	beautiful
宣	宣	베풀 선	xuān	sjwen	s-	-jwen	even	*s-qʷar	spread (v.)
選	选	가릴 선, 뽑을 선, 셀 산, 금 무게 이름 솰	xuǎn	sjwenX	s-	-jwen	rising	*sonʔ {*[s]o[n]ʔ}	choose; count
轉	转		zhuǎn	trjwenX	tr-	-jwen	rising	*mə-tronʔ	turn around
傳	传	전할 전, 전기 전	zhuàn	trjwenH	tr-	-jwen	departing	*tron-s	relay post
專	专	오로지 전, 둥글 단, 모일 단	zhuān	tsywen	tsy-	-jwen	even	*ton	exclusively
川	川	내 천	chuān	tsyhwen	tsyh-	-jwen	even	*t.l̥un {*t.l̥u[n]} (MC -jwen is irregular)	stream, river
穿	穿	뚫을 천	chuān	tsyhwen	tsyh-	-jwen	even	*tʰon {*tʰo[n]}	bore through
巛	巛	개미허리 천, 내 천	chuān	tsyhwen	tsyh-	-jwen	even	*tʰun {*[tʰ]u[n]} (MC -jwen is irregular)	stream, river
舛	舛	어그러질 천	chuǎn	tsyhwenX	tsyh-	-jwen	rising	*tʰonʔ {*[tʰ]o[n]ʔ}	oppose, contrary
喘	喘	헐떡거릴 천, 숨찰 천	chuǎn	tsyhwenX	tsyh-	-jwen	rising	*tʰorʔ	to pant
沿	沿		yán	ywen	y-	-jwen	even	*lon	go along (a river); follow
緣	缘	가선 연, 연줄 연, 연의 단, 인연 연	yuán	ywen	y-	-jwen	even	*lon	go along, follow
捐	捐	버릴 연	yuán	ywen	y-	-jwen	even	*ɢʷen {*[ɢ]ʷen}	abandon; remove
旋	旋	돌 선	xuán	zjwen	z-	-jwen	even	*s-ɢʷen {*s-[ɢ]ʷe[n]}	turn round; return
還	还	돌아올 환, 돌 선, 영위할 영	xuán	zjwen	z-	-jwen	even	*s-ɢʷen {*s-[ɢ]ʷen}	agile
還	还	돌아올 환, 돌 선, 영위할 영	xuán	zjwen	z-	-jwen	even	*s-ɢʷen {*s-[ɢ]ʷen}	turn round, return
㘣	㘣		xuán	zjwen	z-	-jwen	even	*s-ɢʷen {*s-[ɢ]ʷe[n]}	compasses
旋	旋	돌 선	xuàn	zjwenH	z-	-jwen	departing	*s-ɢʷen-s {*s-[ɢ]ʷe[n]-s}	whorl of hair on the head?
船	船	배 선	chuán	zywen	zy-	-jwen	even	*Cə.lon {*Cə.lo[n]}	boat
營	营	경영할 영, 변명할 형	yíng	yweng	y-	-jweng	even	*ɢʷeŋ {*[ɢ]ʷeŋ}	demarcate, encamp
穎	颖	이삭 영, 빼어날 영	yǐng	ywengX	y-	-jweng	rising	*ɢʷeŋʔ {*[ɢ]ʷeŋʔ}	point of an ear of grain
絕	绝		jué	dzjwet	dz-	-jwet	entering	*dzot {*[dz]ot}	cut off
吶	呐	말더듬을 눌, 고함지를 납, 말 더듬을 눌, 떠들 납	nè	nywet	ny-	-jwet	entering	*not	slow of speech
焫	焫	불사를 설, 불사를 열	ruò	nywet	ny-	-jwet	entering	*not	hot, burning; to burn
爇	爇	불 사를 설, 불 사를 열, 불사를 설	ruò	nywet	ny-	-jwet	entering	*not	to burn
雪	雪	눈 설	xuě	sjwet	s-	-jwet	entering	*sot {*[s]ot}	snow
刷	刷		shuā	srjwet	sr-	-jwet	entering	*srot {*[s]rot} (dial. retains srj-)	brush (v.)
說	说	말씀 설, 기쁠 열, 달랠 세, 벗을 탈, 기뻐할 열	shuō	sywet	sy-	-jwet	entering	*l̥ot	speak, explain
掇	掇	주울 철, 주을 철	duó	trjwet	tr-	-jwet	entering	*trot {*t‹r›ot}	pick, gather
拙	拙		zhuō	tsywet	tsy-	-jwet	entering	*tot {*[t]ot}	stupid, inept
啜	啜	마실 철, 먹을 철	chuò	tsyhwet	tsyh-	-jwet	entering	*tʰot	taste, eat, drink (v.)
蛻	蜕	허물 세, 허물 태	yuè	ywet	y-	-jwet	entering	*lot	exuviae of insects or reptiles
悅	悦	기쁠 열	yuè	ywet	y-	-jwet	entering	*lot	pleased
閱	阅		yuè	ywet	y-	-jwet	entering	*lot	count, sum up
閱	阅	검열할 열, 볼 열, 셀 열	yuè	ywet	y-	-jwet	entering	*lot	inspect
說	说	말씀 설, 기쁠 열, 달랠 세, 벗을 탈, 기뻐할 열	yuè	ywet	y-	-jwet	entering	*lot	pleased
規	规	법 규	guī	kjwie	k-	-jwie	even	*kʷe	compass, circle
窺	窥	엿볼 규	kuī	khjwie	kh-	-jwie	even	*kʷʰe	pry, spy (v.)
墮	堕	떨어질 타, 무너뜨릴 휴	huī	xjwie	x-	-jwie	even	*l̥oj (W. dial. *l̥- › x)	destroy
隳	隳	무너뜨릴 휴, 떨어질 타	huī	xjwie	x-	-jwie	even	*l̥oj	destroy
隋	隋	나라 수, 제사 고기 나머지 타, 중앙이 높을 타, 수나라 수, 떨어질 타	huì	xjwieH	x-	-jwie	departing	*l̥oj-s (W. dial. *l̥- › x)	shred sacrificial meat
悁	悁	성낼 연, 조급할 견	yuān	ʔjwien	ʔ-	-jwien	even	*qʷen	dissatisfied
蜎	蜎	장구벌레 연, 날 현	yuān	ʔjwienX	ʔ-	-jwien	rising	*qʷenʔ	crawl (as an insect); soft, bending
蜎	蜎	장구벌레 연, 날 현	yuān	gjwienX	g-	-jwien	rising	*m-k-qʷenʔ {*[m-k-qʷ]enʔ}	crawl (as an insect); soft, bending
絹	绢	명주 견, 그물 견, 비단 견	juàn	kjwienH	k-	-jwien	departing	*kʷen-s {*[k]ʷen-s}	a kind of silk stuff
翾	翾	조금 날 현	xuān	xjwien	x-	-jwien	even	*qʷʰen	fly about
儇	儇	총명할 현, 영리할 현	xuān	xjwien	x-	-jwien	even	*qʷʰen	nimble, smart
瞏	瞏	놀라서 볼 경, 돌아올 선	qióng	gjwieng	g-	-jwieng	even	*ɡʷeŋ {*[ɡ]ʷeŋ}	scared, sad
傾	倾	기울 경	qīng	khjwieng	kh-	-jwieng	even	*kʷʰeŋ {*[k]ʷʰeŋ}	incline (v.)
頃	顷	밭넓이 경, 기울 경, 반 걸음 규, 이랑 경, 잠깐 경, 반걸음 규	qǐng	khjwiengX	kh-	-jwieng	rising	*kʷʰeŋʔ {*[k]ʷʰeŋʔ}	interval, short while
